or_minutes,breakout_type,variant,month,trades,total_r,average_r,win_rate
5,PRINT,5m PRINT,2024-06,5,-2.0,-0.4,0.2
5,CLOSE,5m CLOSE,2024-06,6,3.0,0.5,0.5
10,PRINT,10m PRINT,2024-06,6,0.0,0.0,0.3333333333333333
10,CLOSE,10m CLOSE,2024-06,6,3.0,0.5,0.5
15,PRINT,15m PRINT,2024-06,6,3.0,0.5,0.5
15,CLOSE,15m CLOSE,2024-06,6,3.0,0.5,0.5
30,PRINT,30m PRINT,2024-06,6,0.0,0.0,0.3333333333333333
30,CLOSE,30m CLOSE,2024-06,6,-3.0,-0.5,0.16666666666666666
5,PRINT,5m PRINT,2024-07,22,-4.0,-0.18181818181818182,0.2727272727272727
5,CLOSE,5m CLOSE,2024-07,23,-6.325,-0.275,0.2608695652173913
10,PRINT,10m PRINT,2024-07,23,-3.3684210526315788,-0.14645308924485126,0.30434782608695654
10,CLOSE,10m CLOSE,2024-07,23,-3.4878048780487805,-0.15164369034994699,0.30434782608695654
15,PRINT,15m PRINT,2024-07,23,5.631578947368421,0.24485125858123571,0.43478260869565216
15,CLOSE,15m CLOSE,2024-07,23,4.620890774125132,0.20090829452717965,0.43478260869565216
30,PRINT,30m PRINT,2024-07,21,7.500797872340425,0.3571808510638298,0.47619047619047616
30,CLOSE,30m CLOSE,2024-07,22,3.397683397683398,0.15444015444015446,0.36363636363636365
5,PRINT,5m PRINT,2024-08,20,10.0,0.5,0.5
5,CLOSE,5m CLOSE,2024-08,22,5.0,0.22727272727272727,0.4090909090909091
10,PRINT,10m PRINT,2024-08,21,6.0,0.2857142857142857,0.42857142857142855
10,CLOSE,10m CLOSE,2024-08,22,6.555168408826946,0.2979622004012248,0.45454545454545453
15,PRINT,15m PRINT,2024-08,21,0.8109339407744875,0.038615901941642265,0.3333333333333333
15,CLOSE,15m CLOSE,2024-08,22,-4.871562670078046,-0.22143466682172938,0.2727272727272727
30,PRINT,30m PRINT,2024-08,22,7.485308704006602,0.3402413047275728,0.5
30,CLOSE,30m CLOSE,2024-08,22,2.9236947711166907,0.13289521686894049,0.36363636363636365
5,PRINT,5m PRINT,2024-09,14,-5.0,-0.35714285714285715,0.21428571428571427
5,CLOSE,5m CLOSE,2024-09,17,1.0,0.058823529411764705,0.35294117647058826
10,PRINT,10m PRINT,2024-09,17,4.0,0.23529411764705882,0.4117647058823529
10,CLOSE,10m CLOSE,2024-09,17,4.0,0.23529411764705882,0.4117647058823529
15,PRINT,15m PRINT,2024-09,16,8.0,0.5,0.5
15,CLOSE,15m CLOSE,2024-09,17,4.0,0.23529411764705882,0.4117647058823529
30,PRINT,30m PRINT,2024-09,16,8.0,0.5,0.5
30,CLOSE,30m CLOSE,2024-09,17,4.0,0.23529411764705882,0.4117647058823529
5,PRINT,5m PRINT,2024-10,21,12.0,0.5714285714285714,0.5238095238095238
5,CLOSE,5m CLOSE,2024-10,23,10.0,0.43478260869565216,0.4782608695652174
10,PRINT,10m PRINT,2024-10,23,19.0,0.8260869565217391,0.6086956521739131
10,CLOSE,10m CLOSE,2024-10,23,4.0,0.17391304347826086,0.391304347826087
15,PRINT,15m PRINT,2024-10,23,13.0,0.5652173913043478,0.5217391304347826
15,CLOSE,15m CLOSE,2024-10,23,3.984829540718513,0.17325345829210925,0.43478260869565216
30,PRINT,30m PRINT,2024-10,22,6.838976162074804,0.310862552821582,0.45454545454545453
30,CLOSE,30m CLOSE,2024-10,20,3.3514533302134275,0.16757266651067138,0.45
5,PRINT,5m PRINT,2024-11,19,5.0,0.2631578947368421,0.42105263157894735
5,CLOSE,5m CLOSE,2024-11,21,9.0,0.42857142857142855,0.47619047619047616
10,PRINT,10m PRINT,2024-11,21,3.0,0.14285714285714285,0.38095238095238093
10,CLOSE,10m CLOSE,2024-11,21,6.0,0.2857142857142857,0.42857142857142855
15,PRINT,15m PRINT,2024-11,21,9.0,0.42857142857142855,0.47619047619047616
15,CLOSE,15m CLOSE,2024-11,21,5.15384311712921,0.24542110081567664,0.42857142857142855
30,PRINT,30m PRINT,2024-11,20,3.8319973097449807,0.19159986548724903,0.45
30,CLOSE,30m CLOSE,2024-11,21,2.464277139059132,0.11734653043138724,0.42857142857142855
5,PRINT,5m PRINT,2024-12,17,13.0,0.7647058823529411,0.5882352941176471
5,CLOSE,5m CLOSE,2024-12,17,7.0,0.4117647058823529,0.47058823529411764
10,PRINT,10m PRINT,2024-12,17,7.0,0.4117647058823529,0.47058823529411764
10,CLOSE,10m CLOSE,2024-12,17,4.0,0.23529411764705882,0.4117647058823529
15,PRINT,15m PRINT,2024-12,17,1.0,0.058823529411764705,0.35294117647058826
15,CLOSE,15m CLOSE,2024-12,17,0.6230535633520704,0.03665020960894532,0.35294117647058826
30,PRINT,30m PRINT,2024-12,17,5.536815255748635,0.32569501504403736,0.47058823529411764
30,CLOSE,30m CLOSE,2024-12,17,2.792695025710854,0.1642761779829914,0.4117647058823529
5,PRINT,5m PRINT,2025-01,20,-2.0,-0.1,0.3
5,CLOSE,5m CLOSE,2025-01,21,0.0,0.0,0.3333333333333333
