research_scope,candidate_id,candidate_config_id,member_type,member_config_id,or_minutes,stop_mode,target_points,dev_average_r,val_average_r,average_r_delta,neighborhood_val_positive_share,neighborhood_val_mean_r,candidate_failure_classification
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_001,15m_PRINT_FIXED_50_TARGET75PT,CANDIDATE,15m_PRINT_FIXED_50_TARGET75PT,15,FIXED_50,75.0,0.1816390041493776,0.03942622950819672,-0.14221277464118087,0.75,0.03260263174655729,LOCAL_FAILURE
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_001,15m_PRINT_FIXED_50_TARGET75PT,NEIGHBOR,15m_PRINT_FIXED_40_TARGET75PT,15,FIXED_40,75.0,0.1854516806722689,0.08171487603305784,-0.10373680463921105,0.75,0.03260263174655729,LOCAL_FAILURE
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_001,15m_PRINT_FIXED_50_TARGET75PT,NEIGHBOR,15m_PRINT_FIXED_50_TARGET60PT,15,FIXED_50,60.0,0.1720746887966805,-0.022745901639344257,-0.19482059043602476,0.75,0.03260263174655729,LOCAL_FAILURE
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_001,15m_PRINT_FIXED_50_TARGET75PT,NEIGHBOR,15m_PRINT_FIXED_50_TARGET100PT,15,FIXED_50,100.0,0.3015560165975103,0.04237704918032787,-0.25917896741718244,0.75,0.03260263174655729,LOCAL_FAILURE
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_001,15m_PRINT_FIXED_50_TARGET75PT,NEIGHBOR,15m_PRINT_OR_MIDPOINT_TARGET75PT,15,OR_MIDPOINT,75.0,0.1362610060357343,0.029064503412187696,-0.1071965026235466,0.75,0.03260263174655729,LOCAL_FAILURE
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_002,20m_PRINT_OR_MIDPOINT_TARGET75PT,CANDIDATE,20m_PRINT_OR_MIDPOINT_TARGET75PT,20,OR_MIDPOINT,75.0,0.2325623821295044,-0.024853397709995232,-0.25741577983949965,0.5,-0.01398296361282576,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_002,20m_PRINT_OR_MIDPOINT_TARGET75PT,NEIGHBOR,20m_PRINT_FIXED_40_TARGET75PT,20,FIXED_40,75.0,0.2132120253164557,0.05433884297520661,-0.1588731823412491,0.5,-0.01398296361282576,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_002,20m_PRINT_OR_MIDPOINT_TARGET75PT,NEIGHBOR,20m_PRINT_FIXED_50_TARGET75PT,20,FIXED_50,75.0,0.1796875,0.0008677685950413259,-0.1788197314049587,0.5,-0.01398296361282576,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_002,20m_PRINT_OR_MIDPOINT_TARGET75PT,NEIGHBOR,20m_PRINT_OR_MIDPOINT_TARGET60PT,20,OR_MIDPOINT,60.0,0.1894064381590095,-0.04517221505753215,-0.23457865321654164,0.5,-0.01398296361282576,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_002,20m_PRINT_OR_MIDPOINT_TARGET75PT,NEIGHBOR,20m_PRINT_OR_MIDPOINT_TARGET100PT,20,OR_MIDPOINT,100.0,0.3316377371923896,-0.06596625096401883,-0.3976039881564084,0.5,-0.01398296361282576,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_003,30m_PRINT_FIXED_40_TARGET75PT,CANDIDATE,30m_PRINT_FIXED_40_TARGET75PT,30,FIXED_40,75.0,0.2732020547945206,-0.09407051282051282,-0.3672725676150334,0.0,-0.11916016413435859,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_003,30m_PRINT_FIXED_40_TARGET75PT,NEIGHBOR,30m_PRINT_FIXED_30_TARGET75PT,30,FIXED_30,75.0,0.3342821782178218,-0.11468253968253969,-0.4489647179003615,0.0,-0.11916016413435859,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_003,30m_PRINT_FIXED_40_TARGET75PT,NEIGHBOR,30m_PRINT_FIXED_40_TARGET60PT,30,FIXED_40,60.0,0.2239155251141552,-0.1482905982905983,-0.37220612340475345,0.0,-0.11916016413435859,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_003,30m_PRINT_FIXED_40_TARGET75PT,NEIGHBOR,30m_PRINT_FIXED_40_TARGET100PT,30,FIXED_40,100.0,0.2650399543378995,-0.15539529914529912,-0.42043525348319866,0.0,-0.11916016413435859,BROAD_SURFACE_DETERIORATION
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,MNQ_ORB_V01_CAND_003,30m_PRINT_FIXED_40_TARGET75PT,NEIGHBOR,30m_PRINT_FIXED_50_TARGET75PT,30,FIXED_50,75.0,0.2240434782608695,-0.09940677966101695,-0.3234502579218865,0.0,-0.11916016413435859,BROAD_SURFACE_DETERIORATION
