research_scope,comparison_axis,or_minutes,fixed_dimension,dev_descriptive_peak,val_descriptive_peak,migration,dev_surface_range_r,val_surface_range_r
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,15,FIXED_30,100.0,100.0,STABLE_REGION,0.1482311320754719,0.13362573099415204
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,15,FIXED_40,100.0,100.0,STABLE_REGION,0.1586659663865547,0.04488636363636362
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,15,FIXED_50,100.0,100.0,STABLE_REGION,0.1690871369294605,0.06512295081967212
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,15,OR_25_RETRACEMENT,100.0,100.0,STABLE_REGION,0.2685673093557278,0.38935893686454903
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,15,OR_MIDPOINT,100.0,100.0,STABLE_REGION,0.13611222480384283,0.10851628642610475
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,20,FIXED_30,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.25829510703363917,0.05775362318840576
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,20,FIXED_40,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.21020569620253157,0.07009297520661156
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,20,FIXED_50,100.0,60.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.18843749999999998,0.048966942148760344
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,20,OR_25_RETRACEMENT,100.0,40.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.2966685340475198,0.10329003467041527
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,20,OR_MIDPOINT,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.1992458157164943,0.06113620005425101
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,30,FIXED_30,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.1740099009900992,0.08055555555555549
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,30,FIXED_40,75.0,75.0,STABLE_REGION,0.1102739726027398,0.07986111111111113
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,30,FIXED_50,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.08578260869565221,0.0760593220338983
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,30,OR_25_RETRACEMENT,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.10256628421949189,0.0697809590281741
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,TARGET_REGION,30,OR_MIDPOINT,100.0,75.0,SHIFTED_TOWARD_SMALLER_TARGETS,0.0844022481621354,0.10452008042609402
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,STOP_FAMILY,15,40.0,FIXED_30,OR_25_RETRACEMENT,SHIFTED_FIXED_30_TO_OR_25_RETRACEMENT,0.10784226796294331,0.1962916067973141
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,STOP_FAMILY,15,50.0,FIXED_30,OR_25_RETRACEMENT,SHIFTED_FIXED_30_TO_OR_25_RETRACEMENT,0.11289745038088808,0.2576097346202383
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,STOP_FAMILY,15,60.0,OR_25_RETRACEMENT,OR_25_RETRACEMENT,STABLE_REGION,0.1256404034635557,0.294321265649663
