research_scope,record_type,partition,session_date,or_minutes,or_mid_market_level,fixed_stop_30_pct_price,fixed_stop_40_pct_price,fixed_stop_50_pct_price,target_40_pct_price,target_50_pct_price,target_60_pct_price,target_75_pct_price,target_100_pct_price,dev_median_market_level,val_median_market_level,relative_market_level_change,dev_75pt_pct_price,val_75pt_pct_price,relative_75pt_fraction_change
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-21,15,20000.625,0.0014999531264647979,0.001999937501953064,0.00249992187744133,0.001999937501953064,0.00249992187744133,0.0029999062529295958,0.003749882816161995,0.00499984375488266,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-21,20,19991.625,0.0015006283881375327,0.0020008378508500433,0.002501047313562554,0.0020008378508500433,0.002501047313562554,0.0030012567762750654,0.0037515709703438314,0.005002094627125108,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-21,30,19970.875,0.0015021875606351749,0.0020029167475135667,0.0025036459343919584,0.0020029167475135667,0.0025036459343919584,0.0030043751212703498,0.0037554689015879376,0.005007291868783917,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-24,15,19926.0,0.0015055706112616681,0.002007427481682224,0.00250928435210278,0.002007427481682224,0.00250928435210278,0.0030111412225233363,0.0037639265281541705,0.00501856870420556,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-24,20,19916.0,0.001506326571600723,0.002008435428800964,0.002510544286001205,0.002008435428800964,0.002510544286001205,0.003012653143201446,0.0037658164290018076,0.00502108857200241,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-24,30,19916.0,0.001506326571600723,0.002008435428800964,0.002510544286001205,0.002008435428800964,0.002510544286001205,0.003012653143201446,0.0037658164290018076,0.00502108857200241,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-25,15,19816.875,0.0015138612924590785,0.0020184817232787714,0.002523102154098464,0.0020184817232787714,0.002523102154098464,0.003027722584918157,0.0037846532311476963,0.005046204308196928,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-25,20,19822.375,0.0015134412501024725,0.002017921666803297,0.002522402083504121,0.002017921666803297,0.002522402083504121,0.003026882500204945,0.0037836031252561813,0.005044804167008242,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-25,30,19822.375,0.0015134412501024725,0.002017921666803297,0.002522402083504121,0.002017921666803297,0.002522402083504121,0.003026882500204945,0.0037836031252561813,0.005044804167008242,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-26,15,19936.5,0.0015047776690993906,0.0020063702254658543,0.0025079627818323175,0.0020063702254658543,0.0025079627818323175,0.003009555338198781,0.0037619441727484763,0.005015925563664635,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-26,20,19950.0,0.0015037593984962407,0.0020050125313283208,0.002506265664160401,0.0020050125313283208,0.002506265664160401,0.0030075187969924814,0.0037593984962406013,0.005012531328320802,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-26,30,19959.125,0.0015030719032021694,0.002004095870936226,0.002505119838670282,0.002004095870936226,0.002505119838670282,0.003006143806404339,0.0037576797580054235,0.005010239677340564,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-27,15,20045.5,0.001496595245815769,0.001995460327754359,0.0024943254096929483,0.001995460327754359,0.0024943254096929483,0.002993190491631538,0.003741488114539423,0.004988650819385897,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-27,20,20045.5,0.001496595245815769,0.001995460327754359,0.0024943254096929483,0.001995460327754359,0.0024943254096929483,0.002993190491631538,0.003741488114539423,0.004988650819385897,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-27,30,20045.5,0.001496595245815769,0.001995460327754359,0.0024943254096929483,0.001995460327754359,0.0024943254096929483,0.002993190491631538,0.003741488114539423,0.004988650819385897,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-28,15,20072.25,0.0014946007547733812,0.001992801006364508,0.002491001257955635,0.001992801006364508,0.002491001257955635,0.0029892015095467623,0.003736501886933453,0.00498200251591127,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-28,20,20082.625,0.0014938286205115117,0.0019917714940153493,0.002489714367519186,0.0019917714940153493,0.002489714367519186,0.0029876572410230235,0.0037345715512787795,0.004979428735038372,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-06-28,30,20094.0,0.001492982979994028,0.0019906439733253707,0.0024883049666567137,0.0019906439733253707,0.0024883049666567137,0.002985965959988056,0.0037324574499850703,0.004976609933313427,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-07-01,15,19949.25,0.0015038159329298093,0.002005087910573079,0.002506359888216349,0.002005087910573079,0.002506359888216349,0.0030076318658596186,0.0037595398323245236,0.005012719776432698,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-07-01,20,19921.875,0.0015058823529411766,0.002007843137254902,0.0025098039215686275,0.002007843137254902,0.0025098039215686275,0.003011764705882353,0.0037647058823529413,0.005019607843137255,,,,,,
POST-VALIDATION DIAGNOSTIC — NOT CONFIRMATORY,SESSION,DEVELOPMENT,2024-07-01,30,19913.5,0.0015065156803173727,0.002008687573756497,0.002510859467195621,0.002008687573756497,0.002510859467195621,0.0030130313606347454,0.0037662892007934317,0.005021718934391242,,,,,,
